Victoria in Future 2019 (VIF2019) Population and Household Projections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: David Sykes (DELWP) 03 8683 0936 | david.sykes@delwp.vic.gov.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households by household type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for Statistical Areas from Level 2 to Level 4 (SA2, SA3, SA4), Greater Capital City Statistical Areas (GCCSA) and Victoria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,As at June 30th 2016,,,,,,,,As at June 30th 2021,,,,,,,,As at June 30th 2026,,,,,,,,As at June 30th 2031,,,,,,,,As at June 30th 2036,,,,,,
2GMEL,210,,,SA4,Melbourne - North West,"53,937","30,457","16,552","1,809","3,655","26,435","132,844",,"63,429","36,117","18,953","2,010","4,015","30,125","154,648",,"71,682","40,976","21,519","2,146","4,211","33,627","174,160",,"78,392","45,714","24,182","2,406","4,528","37,140","192,362",,"84,621","51,301","27,003","2,677","4,994","40,894","211,490"
2GMEL,211,,,SA4,Melbourne - Outer East,"73,310","50,124","21,386","1,912","4,849","42,159","193,740",,"75,054","54,978","22,258","1,989","5,050","45,816","205,146",,"77,440","59,072","23,367","2,064","5,217","49,540","216,700",,"80,208","62,723","24,722","2,178","5,446","53,288","228,565",,"83,598","66,567","26,202","2,299","5,743","56,878","241,287"
2GMEL,212,,,SA4,Melbourne - South East,"111,190","62,351","32,079","3,970","10,639","49,724","269,952",,"128,759","74,293","36,926","4,482","12,068","57,346","313,872",,"144,844","84,035","41,747","4,830","12,889","64,639","352,983",,"158,735","93,336","46,741","5,261","13,847","71,808","389,730",,"170,277","103,284","51,406","5,706","14,815","78,976","424,463"
2GMEL,213,,,SA4,Melbourne - West,"106,493","58,592","33,882","4,074","10,138","51,600","264,778",,"127,025","71,024","39,767","4,595","11,456","60,308","314,175",,"145,967","82,491","46,768","5,111","12,663","70,503","363,503",,"164,001","95,333","54,351","5,794","14,271","81,495","415,245",,"181,986","110,594","62,071","6,483","16,030","93,041","470,205"
2GMEL,214,,,SA4,Mornington Peninsula,"36,340","33,541","14,915","1,131","3,293","33,499","122,720",,"37,380","37,062","15,590","1,176","3,440","36,642","131,289",,"38,412","40,184","16,260","1,219","3,549","39,645","139,270",,"39,691","43,093","17,101","1,293","3,720","42,669","147,568",,"41,462","46,052","18,078","1,365","3,900","45,632","156,489"
2RVIC,215,,,SA4,North West,"16,386","19,242","6,440",577,"1,972","20,213","64,830",,"16,203","19,960","6,429",586,"1,989","20,892","66,058",,"16,211","20,420","6,451",587,"1,985","21,611","67,264",,"16,315","20,601","6,603",594,"2,003","22,356","68,473",,"16,496","20,583","6,773",595,"2,014","22,993","69,454"
2RVIC,216,,,SA4,Shepparton,"14,980","16,014","5,943",406,"1,504","15,373","54,219",,"15,095","17,097","6,050",419,"1,582","16,363","56,605",,"15,525","18,003","6,250",435,"1,656","17,504","59,372",,"16,154","18,666","6,553",451,"1,736","18,648","62,208",,"16,845","19,149","6,890",459,"1,801","19,681","64,824"
2RVIC,217,,,SA4,Warrnambool and South West,"13,924","15,801","5,248",431,"1,584","16,437","53,426",,"13,724","16,788","5,234",441,"1,608","17,315","55,109",,"13,637","17,516","5,257",443,"1,587","18,217","56,656",,"13,653","17,938","5,359",454,"1,616","19,115","58,134",,"13,751","18,075","5,509",454,"1,646","19,922","59,356"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2GMEL,,,,GCCSA,Greater Melbourne,"616,022","434,682","186,635","26,184","93,818","424,040","1,781,381",,"689,923","503,025","208,749","29,243","105,784","481,703","2,018,428",,"760,292","560,876","232,734","31,420","112,133","536,577","2,234,032",,"827,177","616,890","259,446","33,968","118,802","591,587","2,447,869",,"892,384","678,835","287,548","36,522","125,879","647,530","2,668,700"
2RVIC,,,,GCCSA,Rest of Vic.,"163,513","178,555","65,618","4,964","19,575","180,413","612,638",,"172,374","196,401","68,985","5,278","20,813","196,483","660,335",,"182,530","212,106","73,049","5,554","21,720","213,756","708,714",,"193,350","225,706","78,185","5,877","23,067","231,983","758,168",,"204,155","238,053","83,755","6,152","24,377","250,090","806,583"
,,,,State,Victoria,"779,535","613,237","252,252","31,148","113,393","604,454","2,394,020",,"862,298","699,427","277,734","34,522","126,597","678,186","2,678,763",,"942,823","772,981","305,783","36,974","133,853","750,333","2,942,746",,"1,020,527","842,595","337,631","39,845","141,870","823,570","3,206,037",,"1,096,540","916,888","371,304","42,673","150,257","897,620","3,475,282"
